C_size	t_chal	C_end	R_end
10	0	73.33334	61260
10	0	13.33333	426653.3
10	0	93.33334	34573.33
10	0	66.66666	55266.67
10	1	3733.333	109600
10	1	533.3333	199466.7
10	1	26.66667	59973.33
10	4	26.66667	47306.67
10	4	533.3333	152800
10	4	666.6667	126000
10	4	6.666667	73333.33
10	4	933.3333	25066.67
10	6	6.666667	45333.33
10	6	6.666667	43333.33
10	6	6.666667	25333.33
10	6	6.666667	233333.3
10	6	6.666667	260000
10	6	6.666667	193326.7
100	0	1333.333	54000
100	0	4400	32933.33
100	0	4600	32733.33
100	0	1666.667	63666.67
100	0	2266.667	38400
100	1	2200	16466.67
100	1	1000	24333.33
100	1	653.3333	30013.33
100	4	2666.667	110666.7
100	4	17333.33	116000
100	4	3066.667	96933.33
100	4	8666.667	78000
100	4	2533.333	110800
100	6	6.666667	64666.67
100	6	20	55313.33
100	6	26.66667	44640
100	6	2800	143866.7
1000	0	26666.67	13333.33
1000	0	410000	43333.33
1000	0	113333.3	100000
1000	0	113333.3	66666.67
1000	1	36000	310666.7
1000	1	19333.33	67333.33
1000	4	120000	1
1000	4	44666.67	75333.33
1000	4	32666.67	13333.33
1000	4	37333.33	14666.67
1000	6	946.6667	17053.33
1000	6	3866.667	93466.67
1000	6	5466.667	174533.3
1000	6	5066.667	234933.3
10	24	6.666667	273333.3
10	24	160	233173.3
10	24	6.666667	5600
10	24	6.666667	84526.67
10	24	606.6667	193333.3
10	24	6.666667	186666.7
10	24	140	186666.7
10	24	6.666667	286060
10	24	6.666667	266666.7
100	24	86.66667	193246.7
100	24	640	386026.7
100	24	6.666667	48666.67
100	24	6.666667	54666.67
100	24	6.666667	55946.67
100	24	6.666667	413333.3
100	24	53.33333	226666.7
100	24	6.666667	104000
1000	24	2066.667	114600
1000	24	766.6667	225900
1000	24	7933.333	100733.3
1000	24	6533.333	193466.7
1000	24	20	260000
1000	24	6.666667	121573.3
1000	24	426.6667	119893.3
1000	24	773.3333	49980
